CG098.txt	B	今	イマ	イマ	今	名詞-普通名詞-副詞可能			イマ	和
CG098.txt	I	の	ノ	ノ	の	助詞-格助詞			ノ	和
CG098.txt	I	社会	シャカイ	シャカイ	社会	名詞-普通名詞-一般			シャカイ	漢
CG098.txt	I	に	ニ	ニ	に	助詞-格助詞			ニ	和	で	G
CG098.txt	I	、			、	補助記号-読点				記号
CG098.txt	I	国語	コクゴ	コクゴ	国語	名詞-普通名詞-一般			コクゴ	漢	母語	G
CG098.txt	I	以外	イガイ	イガイ	以外	名詞-普通名詞-副詞可能			イガイ	漢
CG098.txt	I	の	ノ	ノ	の	助詞-格助詞			ノ	和
CG098.txt	I	外国	ガイコク	ガイコク	外国	名詞-普通名詞-一般			ガイコク	漢
CG098.txt	I	語	ゴ	ゴ	語	名詞-普通名詞-一般			ゴ	漢
CG098.txt	I	を	オ	ヲ	を	助詞-格助詞			ヲ	和
CG098.txt	I	話せる	ハナセル	ハナス	話す	動詞-一般	下一段-サ行	連体形-一般	ハナセル	和
CG098.txt	I	こと	コト	コト	事	名詞-普通名詞-一般			コト	和
CG098.txt	I	は	ワ	ハ	は	助詞-係助詞			ハ	和
CG098.txt	I	もう	モー	モウ	もう	副詞			モウ	和
CG098.txt	I	時代	ジダイ	ジダイ	時代	名詞-普通名詞-一般			ジダイ	漢
CG098.txt	I	の	ノ	ノ	の	助詞-格助詞			ノ	和
CG098.txt	I	流れ	ナガレ	ナガレ	流れ	名詞-普通名詞-一般			ナガレ	和
CG098.txt	I	の	ノ	ノ	の	助詞-格助詞			ノ	和
CG098.txt	I	一	ヒト	ヒト	一	名詞-数詞			ヒト	和
CG098.txt	I	つ	ツ	ツ	つ	接尾辞-名詞的-助数詞			ツ	和
CG098.txt	I	に	ニ	ニ	に	助詞-格助詞			ニ	和
CG098.txt	I	なる	ナル	ナル	成る	動詞-非自立可能	五段-ラ行-一般	終止形-一般	ナル	和	なっている	G
CG098.txt	I	。			。	補助記号-句点				記号
CG098.txt	B	私	ワタクシ	ワタクシ	私-代名詞	代名詞			ワタクシ	和
CG098.txt	I	たち	タチ	タチ	達	接尾辞-名詞的-一般			タチ	和
CG098.txt	I	は	ワ	ハ	は	助詞-係助詞			ハ	和
CG098.txt	I	小学	ショーガク	ショウガク	小学	名詞-普通名詞-一般			ショウガク	漢
CG098.txt	I	三	サン	サン	三	名詞-数詞			サン	漢
CG098.txt	I	年	ネン	ネン	年	接尾辞-名詞的-助数詞			ネン	漢
CG098.txt	I	生	セー	セイ	生	接尾辞-名詞的-一般			セイ	漢
CG098.txt	I	から	カラ	カラ	から	助詞-格助詞			カラ	和
CG098.txt	I	大学	ダイガク	ダイガク	大学	名詞-普通名詞-一般			ダイガク	漢
