KG066.txt	B	「			「	補助記号-括弧開				記号		
KG066.txt	I	外国	ガイコク	ガイコク	外国	名詞-普通名詞-一般			ガイコク	漢		
KG066.txt	I	語	ゴ	ゴ	語	名詞-普通名詞-一般			ゴ	漢		
KG066.txt	I	が	ガ	ガ	が	助詞-格助詞			ガ	和		
KG066.txt	I	うまく	ウマク	ウマイ	甘い	形容詞-一般	形容詞	連用形-一般	ウマイ	和		
KG066.txt	I	なる	ナル	ナル	成る	動詞-非自立可能	五段-ラ行-一般	連体形-一般	ナル	和		
KG066.txt	I	方法	ホーホー	ホウホウ	方法	名詞-普通名詞-一般			ホウホウ	漢		
KG066.txt	I	は	ワ	ハ	は	助詞-係助詞			ハ	和		
KG066.txt	I	あり	アリ	アル	有る	動詞-非自立可能	五段-ラ行-一般	連用形-一般	アル	和		
KG066.txt	I	ます	マス	マス	ます	助動詞	助動詞-マス	終止形-一般	マス	和		
KG066.txt	I	か	カ	カ	か	助詞-終助詞			カ	和		
KG066.txt	I	？			？	補助記号-句点				記号		
KG066.txt	I	」			」	補助記号-括弧閉				記号		
KG066.txt	I	の	ノ	ノ	の	助詞-格助詞			ノ	和	という質問に	G
KG066.txt	I	つい	ツイ	ツク	付く	動詞-非自立可能	五段-カ行-一般	連用形-イ音便	ツク	和		
KG066.txt	I	て	テ	テ	て	助詞-接続助詞			テ	和		
KG066.txt	I	みんな	ミンナ	ミナ	皆	名詞-普通名詞-副詞可能			ミンナ	和	誰でも	G,C
KG066.txt	I	一	イチ	イチ	一	名詞-数詞			イチ	漢		
KG066.txt	I	度	ド	ド	度	接尾辞-名詞的-助数詞			ド	漢		
KG066.txt	I	は	ワ	ハ	は	助詞-係助詞			ハ	和		
KG066.txt	I	こんな	コンナ	コンナ	こんな	連体詞			コンナ	和	×	G
KG066.txt	I	想像	ソーゾー	ソウゾウ	想像	名詞-普通名詞-サ変可能			ソウゾウ	漢	考え	G
KG066.txt	I	を	オ	ヲ	を	助詞-格助詞			ヲ	和	×	G
KG066.txt	I	し	シ	スル	為る	動詞-非自立可能	サ行変格	連用形-一般	スル	和	×	G
