CG046.txt	B	現代	ゲンダイ	ゲンダイ	現代	名詞-普通名詞-副詞可能			ゲンダイ	漢
CG046.txt	I	社会	シャカイ	シャカイ	社会	名詞-普通名詞-一般			シャカイ	漢
CG046.txt	I	で	デ	デ	で	助詞-格助詞			デ	和
CG046.txt	I	は	ワ	ハ	は	助詞-係助詞			ハ	和
CG046.txt	I	経済	ケーザイ	ケイザイ	経済	名詞-普通名詞-一般			ケイザイ	漢
CG046.txt	I	の	ノ	ノ	の	助詞-格助詞			ノ	和
CG046.txt	I	高度	コード	コウド	高度	形状詞-一般			コウド	漢
CG046.txt	I	発展	ハッテン	ハッテン	発展	名詞-普通名詞-サ変可能			ハッテン	漢
CG046.txt	I	に	ニ	ニ	に	助詞-格助詞			ニ	和
CG046.txt	I	つれ	ツレ	ツレル	連れる	動詞-一般	下一段-ラ行-一般	連用形-一般	ツレル	和
CG046.txt	I	て	テ	テ	て	助詞-接続助詞			テ	和
CG046.txt	I	、			、	補助記号-読点				記号
CG046.txt	I	外国	ガイコク	ガイコク	外国	名詞-普通名詞-一般			ガイコク	漢
CG046.txt	I	語	ゴ	ゴ	語	名詞-普通名詞-一般			ゴ	漢
CG046.txt	I	に	ニ	ニ	に	助詞-格助詞			ニ	和	が	G
CG046.txt	I	上手	ジョーズ	ジョウズ	上手	名詞-普通名詞-形状詞可能			ジョウズ	漢
CG046.txt	I	な	ナ	ダ	だ	助動詞	助動詞-ダ	連体形-一般	ダ	和
CG046.txt	I	人才	ジンサイ	ジンサイ	人才	名詞-普通名詞-一般			ジンサイ	漢	人材	C
CG046.txt	I	が	ガ	ガ	が	助詞-格助詞			ガ	和
CG046.txt	I	必要	ヒツヨー	ヒツヨウ	必要	名詞-普通名詞-形状詞可能			ヒツヨウ	漢
CG046.txt	I	で	デ	ダ	だ	助動詞	助動詞-ダ	連用形-一般	ダ	和	とされている	G
CG046.txt	I	ある	アル	アル	有る	動詞-非自立可能	五段-ラ行-一般	終止形-一般	アル	和	×	G
CG046.txt	I	。			。	補助記号-句点				記号
CG046.txt	B	日本	ニッポン	ニッポン	日本	名詞-固有名詞-地名-国			ニッポン	固	私は日本	G
CG046.txt	I	語	ゴ	ゴ	語	名詞-普通名詞-一般			ゴ	漢
CG046.txt	I	が	ガ	ガ	が	助詞-格助詞			ガ	和
CG046.txt	I	うまく	ウマク	ウマイ	甘い	形容詞-一般	形容詞	連用形-一般	ウマイ	和
CG046.txt	I	なる	ナル	ナル	成る	動詞-非自立可能	五段-ラ行-一般	連体形-一般	ナル	和
CG046.txt	I	ため	タメ	タメ	為	名詞-普通名詞-副詞可能			タメ	和
CG046.txt	I	に	ニ	ニ	に	助詞-格助詞			ニ	和
CG046.txt	I	どう	ドー	ドウ	どう	副詞			ドウ	和
CG046.txt	I	し	シ	スル	為る	動詞-非自立可能	サ行変格	連用形-一般	スル	和
CG046.txt	I	たら	タラ	タ	た	助動詞	助動詞-タ	仮定形-一般	タ	和
CG046.txt	I	いい	イー	ヨイ	良い	形容詞-非自立可能	形容詞	終止形-一般	イイ	和
CG046.txt	I	と	ト	ト	と	助詞-格助詞			ト	和	かと	G
CG046.txt	I	ずいぶん	ズイブン	ズイブン	随分	副詞			ズイブン	漢
CG046.txt	I	悩ん	ナヤン	ナヤム	悩む	動詞-一般	五段-マ行	連用形-撥音便	ナヤム	和
CG046.txt	I	で	デ	テ	て	助詞-接続助詞			デ	和
CG046.txt	I	いる	イル	イル	居る	動詞-非自立可能	上一段-ア行	終止形-一般	イル	和
CG046.txt	I	。			。	補助記号-句点				記号
CG046.txt	B	外国	ガイコク	ガイコク	外国	名詞-普通名詞-一般			ガイコク	漢
