KG095.txt	B	天才	テンサイ	テンサイ	天才	名詞-普通名詞-一般			テンサイ	漢		
KG095.txt	I	は	ワ	ハ	は	助詞-係助詞			ハ	和		
KG095.txt	I	努力	ドリョク	ドリョク	努力	名詞-普通名詞-サ変可能			ドリョク	漢		
KG095.txt	I	する	スル	スル	為る	動詞-非自立可能	サ行変格	連体形-一般	スル	和		
KG095.txt	I	者	モノ	モノ	者	名詞-普通名詞-一般			モノ	和		
KG095.txt	I	に	ニ	ニ	に	助詞-格助詞			ニ	和		
KG095.txt	I	勝て	カテ	カツ	勝つ	動詞-一般	下一段-タ行	未然形-一般	カテル	和		
KG095.txt	I	ぬ	ヌ	ズ	ず	助動詞	助動詞-ヌ	終止形-一般	ヌ	和		
KG095.txt	I	、			、	補助記号-読点				記号		
KG095.txt	I	そして	ソシテ	ソシテ	そして	接続詞			ソシテ	和		
KG095.txt	I	、			、	補助記号-読点				記号		
KG095.txt	I	努力	ドリョク	ドリョク	努力	名詞-普通名詞-サ変可能			ドリョク	漢		
KG095.txt	I	する	スル	スル	為る	動詞-非自立可能	サ行変格	連体形-一般	スル	和		
KG095.txt	I	者	モノ	モノ	者	名詞-普通名詞-一般			モノ	和		
KG095.txt	I	は	ワ	ハ	は	助詞-係助詞			ハ	和		
KG095.txt	I	楽しめる	タノシメル	タノシム	楽しむ	動詞-一般	下一段-マ行	連体形-一般	タノシメル	和		
KG095.txt	I	者	モノ	モノ	者	名詞-普通名詞-一般			モノ	和		
KG095.txt	I	に	ニ	ニ	に	助詞-格助詞			ニ	和		
KG095.txt	I	勝て	カテ	カツ	勝つ	動詞-一般	下一段-タ行	未然形-一般	カテル	和		
KG095.txt	I	ぬ	ヌ	ズ	ず	助動詞	助動詞-ヌ	終止形-一般	ヌ	和		
KG095.txt	I	。			。	補助記号-句点				記号		
KG095.txt	B	これ	コレ	コレ	此れ	代名詞			コレ	和		
KG095.txt	I	が	ガ	ガ	が	助詞-格助詞			ガ	和		
KG095.txt	I	私	ワタクシ	ワタクシ	私-代名詞	代名詞			ワタクシ	和		
KG095.txt	I	の	ノ	ノ	の	助詞-格助詞			ノ	和		
KG095.txt	I	勉強	ベンキョー	ベンキョウ	勉強	名詞-普通名詞-サ変可能			ベンキョウ	漢		
KG095.txt	I	の	ノ	ノ	の	助詞-格助詞			ノ	和		
KG095.txt	I	理論	リロン	リロン	理論	名詞-普通名詞-一般			リロン	漢		
KG095.txt	I	です	デス	デス	です	助動詞	助動詞-デス	終止形-一般	デス	和	だ	S
KG095.txt	I	が	ガ	ガ	が	助詞-接続助詞			ガ	和		
KG095.txt	I	、			、	補助記号-読点				記号		
KG095.txt	I	なかなか	ナカナカ	ナカナカ	中々	副詞			ナカナカ	和		
KG095.txt	I	勉強	ベンキョー	ベンキョウ	勉強	名詞-普通名詞-サ変可能			ベンキョウ	漢		
KG095.txt	I	を	オ	ヲ	を	助詞-格助詞			ヲ	和		
KG095.txt	I	楽しめる	タノシメル	タノシム	楽しむ	動詞-一般	下一段-マ行	連体形-一般	タノシメル	和	楽しむ	G
KG095.txt	I	の	ノ	ノ	の	助詞-準体助詞			ノ	和	こと	G
KG095.txt	I	が	ガ	ガ	が	助詞-格助詞			ガ	和		
KG095.txt	I	でき	デキ	デキル	出来る	動詞-非自立可能	上一段-カ行	未然形-一般	デキル	和		
KG095.txt	I	ない	ナイ	ナイ	ない	助動詞	助動詞-ナイ	終止形-一般	ナイ	和		
KG095.txt	I	。			。	補助記号-句点				記号		
KG095.txt	B	だ	ダ	ダ	だ	助動詞	助動詞-ダ	終止形-一般	ダ	和		
KG095.txt	I	から	カラ	カラ	から	助詞-接続助詞			カラ	和		
KG095.txt	I	、			、	補助記号-読点				記号		
KG095.txt	I	いつ	イツ	イツ	何時	代名詞			イツ	和		
