CG042.txt	B	C	シー	シー	C	記号-文字			シー	記号
CG042.txt	I	G	ジー	ジー	G	記号-文字			ジー	記号
CG042.txt	I	0	ゼロ	ゼロ	ゼロ	名詞-数詞			ゼロ	外
CG042.txt	I	4	ヨン	ヨン	四	名詞-数詞			ヨン	和
CG042.txt	I	2	ニ	ニ	二	名詞-数詞			ニ	漢
CG042.txt	B	外国	ガイコク	ガイコク	外国	名詞-普通名詞-一般			ガイコク	漢
CG042.txt	I	語	ゴ	ゴ	語	名詞-普通名詞-一般			ゴ	漢
CG042.txt	I	が	ガ	ガ	が	助詞-格助詞			ガ	和
CG042.txt	I	うまく	ウマク	ウマイ	甘い	形容詞-一般	形容詞	連用形-一般	ウマイ	和
CG042.txt	I	なる	ナル	ナル	成る	動詞-非自立可能	五段-ラ行-一般	連体形-一般	ナル	和
CG042.txt	I	方法	ホーホー	ホウホウ	方法	名詞-普通名詞-一般			ホウホウ	漢
CG042.txt	B	わたし	ワタシ	ワタシ	私	代名詞			ワタシ	和
CG042.txt	I	は	ワ	ハ	は	助詞-係助詞			ハ	和
CG042.txt	I	大学	ダイガク	ダイガク	大学	名詞-普通名詞-一般			ダイガク	漢
CG042.txt	I	入学	ニューガク	ニュウガク	入学	名詞-普通名詞-サ変可能			ニュウガク	漢
CG042.txt	I	試験	シケン	シケン	試験	名詞-普通名詞-サ変可能			シケン	漢
CG042.txt	I	時	ジ	ジ	時	接尾辞-名詞的-副詞可能			ジ	漢
CG042.txt	I	、			、	補助記号-読点				記号
CG042.txt	I	大学	ダイガク	ダイガク	大学	名詞-普通名詞-一般			ダイガク	漢
CG042.txt	I	の	ノ	ノ	の	助詞-格助詞			ノ	和
CG042.txt	I	専門	センモン	センモン	専門	名詞-普通名詞-一般			センモン	漢
CG042.txt	I	を	オ	ヲ	を	助詞-格助詞			ヲ	和
CG042.txt	I	日本	ニッポン	ニッポン	日本	名詞-固有名詞-地名-国			ニッポン	固
CG042.txt	I	語	ゴ	ゴ	語	名詞-普通名詞-一般			ゴ	漢
CG042.txt	I	に	ニ	ニ	に	助詞-格助詞			ニ	和
CG042.txt	I	決め	キメ	キメル	決める	動詞-一般	下一段-マ行	連用形-一般	キメル	和
CG042.txt	I	た	タ	タ	た	助動詞	助動詞-タ	終止形-一般	タ	和
CG042.txt	I	。			。	補助記号-句点				記号
CG042.txt	B	あの	アノ	アノ	あの	感動詞-フィラー			アノ	和
CG042.txt	I	時	トキ	トキ	時	名詞-普通名詞-副詞可能			トキ	和	時から	G
CG042.txt	I	たぶん	タブン	タブン	多分	副詞			タブン	漢
CG042.txt	I	語	ゴ	ゴ	語	名詞-普通名詞-一般			ゴ	漢
CG042.txt	I	学	ガク	ガク	学	接尾辞-名詞的-一般			ガク	漢
CG042.txt	I	に	ニ	ニ	に	助詞-格助詞			ニ	和
CG042.txt	I	興味	キョーミ	キョウミ	興味	名詞-普通名詞-一般			キョウミ	漢
CG042.txt	I	を	オ	ヲ	を	助詞-格助詞			ヲ	和
CG042.txt	I	持っ	モッ	モツ	持つ	動詞-一般	五段-タ行	連用形-促音便	モツ	和
CG042.txt	I	て	テ	テ	て	助詞-接続助詞			テ	和
CG042.txt	I	いる	イル	イル	居る	動詞-非自立可能	上一段-ア行	終止形-一般	イル	和	いた	G
CG042.txt	I	か	カ	カ	か	助詞-副助詞			カ	和	のか	G
CG042.txt	I	も	モ	モ	も	助詞-係助詞			モ	和
CG042.txt	I	しれ	シレ	シレル	知れる	動詞-一般	下一段-ラ行-一般	未然形-一般	シレル	和
CG042.txt	I	ない	ナイ	ナイ	ない	助動詞	助動詞-ナイ	終止形-一般	ナイ	和
CG042.txt	I	。			。	補助記号-句点				記号
