KN303.txt	B	最初	サイショ	サイショ	最初	名詞-普通名詞-副詞可能			サイショ	漢
KN303.txt	I	、			、	補助記号-読点				記号
KN303.txt	I	私	ワタクシ	ワタクシ	私-代名詞	代名詞			ワタクシ	和
KN303.txt	I	が	ガ	ガ	が	助詞-格助詞			ガ	和
KN303.txt	I	日本	ニッポン	ニッポン	日本	名詞-固有名詞-地名-国			ニッポン	固
KN303.txt	I	に	ニ	ニ	に	助詞-格助詞			ニ	和
KN303.txt	I	来	キ	クル	来る	動詞-非自立可能	カ行変格	連用形-一般	クル	和
KN303.txt	I	た	タ	タ	た	助動詞	助動詞-タ	連体形-一般	タ	和
KN303.txt	I	とき	トキ	トキ	時	名詞-普通名詞-副詞可能			トキ	和	とき住んでいたのは？	G
KN303.txt	I	に	ニ	ニ	に	助詞-格助詞			ニ	和	×？	G
KN303.txt	I	は	ワ	ハ	は	助詞-係助詞			ハ	和	×？	G
KN303.txt	I	韓国	カンコク	カンコク	韓国	名詞-固有名詞-地名-国			カンコク	固
KN303.txt	I	人	ジン	ジン	人	接尾辞-名詞的-一般			ジン	漢
KN303.txt	I	が	ガ	ガ	が	助詞-格助詞			ガ	和
KN303.txt	I	いっぱい	イッパイ	イッパイ	一杯	副詞			イッパイ	漢
KN303.txt	I	住ん	スン	スム	住む	動詞-一般	五段-マ行	連用形-撥音便	スム	和
KN303.txt	I	で	デ	テ	て	助詞-接続助詞			デ	和
KN303.txt	I	い	イ	イル	居る	動詞-非自立可能	上一段-ア行	連用形-一般	イル	和
KN303.txt	I	た	タ	タ	た	助動詞	助動詞-タ	連体形-一般	タ	和
KN303.txt	I	りょう	リョー	リョウ	量	名詞-普通名詞-一般			リョウ	漢
KN303.txt	I	でし	デシ	デス	です	助動詞	助動詞-デス	連用形-一般	デス	和
KN303.txt	I	た	タ	タ	た	助動詞	助動詞-タ	終止形-一般	タ	和
KN303.txt	I	。			。	補助記号-句点				記号
KN303.txt	B	な	ナ	ダ	だ	助動詞	助動詞-ダ	連体形-一般	ダ	和
KN303.txt	I	の	ノ	ノ	の	助詞-準体助詞			ノ	和
KN303.txt	I	で	デ	ダ	だ	助動詞	助動詞-ダ	連用形-一般	ダ	和
KN303.txt	I	どう	ドー	ドウ	どう	副詞			ドウ	和
KN303.txt	I	し	シ	スル	為る	動詞-非自立可能	サ行変格	連用形-一般	スル	和
KN303.txt	I	て	テ	テ	て	助詞-接続助詞			テ	和
