KG087.txt	B	始め	ハジメ	ハジメ	始め	名詞-普通名詞-副詞可能			ハジメ	和		
KG087.txt	I	は	ワ	ハ	は	助詞-係助詞			ハ	和		
KG087.txt	I	兵役	ヘーエキ	ヘイエキ	兵役	名詞-普通名詞-一般			ヘイエキ	漢		
KG087.txt	I	の	ノ	ノ	の	助詞-格助詞			ノ	和		
KG087.txt	I	時	トキ	トキ	時	名詞-普通名詞-副詞可能			トキ	和		
KG087.txt	I	、			、	補助記号-読点				記号		
KG087.txt	I	自ら	ミズカラ	ミズカラ	自ら	名詞-普通名詞-副詞可能			ミズカラ	和	自分で	C,G
KG087.txt	I	勉強	ベンキョー	ベンキョウ	勉強	名詞-普通名詞-サ変可能			ベンキョウ	漢		
KG087.txt	I	し	シ	スル	為る	動詞-非自立可能	サ行変格	連用形-一般	スル	和		
KG087.txt	I	まし	マシ	マス	ます	助動詞	助動詞-マス	連用形-一般	マス	和		
KG087.txt	I	た	タ	タ	た	助動詞	助動詞-タ	終止形-一般	タ	和		
KG087.txt	I	。			。	補助記号-句点				記号		
KG087.txt	B	学校	ガッコー	ガッコウ	学校	名詞-普通名詞-一般			ガッコウ	漢		
KG087.txt	I	を	オ	ヲ	を	助詞-格助詞			ヲ	和	に	G
KG087.txt	I	通	ドーリ	トオリ	通り	名詞-普通名詞-副詞可能			トオリ	和	通っ	C
KG087.txt	I	よっ	ヨッ	ヨル	拠る	動詞-一般	五段-ラ行-一般	連用形-促音便	ヨル	和	×	C
KG087.txt	I	た	タ	タ	た	助動詞	助動詞-タ	連体形-一般	タ	和		
KG087.txt	I	時	トキ	トキ	時	名詞-普通名詞-副詞可能			トキ	和		
KG087.txt	I	学ん	マナン	マナブ	学ぶ	動詞-一般	五段-バ行	連用形-撥音便	マナブ	和		
KG087.txt	I	だ	ダ	タ	た	助動詞	助動詞-タ	連体形-一般	ダ	和		
KG087.txt	I	教科	キョーカ	キョウカ	教科	名詞-普通名詞-一般			キョウカ	漢		
KG087.txt	I	書	ショ	ショ	書	接尾辞-名詞的-一般			ショ	漢		
KG087.txt	I	を	オ	ヲ	を	助詞-格助詞			ヲ	和		
KG087.txt	I	見	ミ	ミル	見る	動詞-非自立可能	上一段-マ行	連用形-一般	ミル	和		
KG087.txt	I	ながら	ナガラ	ナガラ	ながら	助詞-接続助詞			ナガラ	和	て	G
KG087.txt	I	知ら	シラ	シル	知る	動詞-一般	五段-ラ行-一般	未然形-一般	シル	和		
KG087.txt	I	ない	ナイ	ナイ	ない	助動詞	助動詞-ナイ	連体形-一般	ナイ	和		
KG087.txt	I	ところ	トコロ	トコロ	所	名詞-普通名詞-副詞可能			トコロ	和		
KG087.txt	I	は	ワ	ハ	は	助詞-係助詞			ハ	和		
KG087.txt	I	後任	コーニン	コウニン	後任	名詞-普通名詞-一般			コウニン	漢		
KG087.txt	I	に	ニ	ニ	に	助詞-格助詞			ニ	和		
KG087.txt	I	聞き	キキ	キク	聞く	動詞-一般	五段-カ行-一般	連用形-一般	キク	和		
KG087.txt	I	ながら	ナガラ	ナガラ	ながら	助詞-接続助詞			ナガラ	和		
KG087.txt	I	4	ヨン	ヨン	四	名詞-数詞			ヨン	和		
KG087.txt	I	ヶ月	カゲツ	カゲツ	箇月	接尾辞-名詞的-助数詞			カゲツ	漢		
KG087.txt	I	間	カン	カン	間	接尾辞-名詞的-副詞可能			カン	漢		
KG087.txt	I	勉強	ベンキョー	ベンキョウ	勉強	名詞-普通名詞-サ変可能			ベンキョウ	漢		
KG087.txt	I	し	シ	スル	為る	動詞-非自立可能	サ行変格	連用形-一般	スル	和		
KG087.txt	I	まし	マシ	マス	ます	助動詞	助動詞-マス	連用形-一般	マス	和		
KG087.txt	I	た	タ	タ	た	助動詞	助動詞-タ	終止形-一般	タ	和		
KG087.txt	I	。			。	補助記号-句点				記号		
KG087.txt	B	単語	タンゴ	タンゴ	単語	名詞-普通名詞-一般			タンゴ	漢		
KG087.txt	I	と	ト	ト	と	助詞-格助詞			ト	和		
KG087.txt	I	文章	ブンショー	ブンショウ	文章	名詞-普通名詞-一般			ブンショウ	漢		
KG087.txt	I	を	オ	ヲ	を	助詞-格助詞			ヲ	和		
KG087.txt	I	主に	オモニ	オモニ	主に	副詞			オモニ	和	主に勉強して、	S
KG087.txt	I	文法	ブンポー	ブンポウ	文法	名詞-普通名詞-一般			ブンポウ	漢		
KG087.txt	I	は	ワ	ハ	は	助詞-係助詞			ハ	和		
KG087.txt	I	あまり	アマリ	アマリ	余り	副詞			アマリ	和		
KG087.txt	I	し	シ	スル	為る	動詞-非自立可能	サ行変格	未然形-一般	スル	和		
KG087.txt	I	なかっ	ナカッ	ナイ	ない	助動詞	助動詞-ナイ	連用形-促音便	ナイ	和	ませ	G
KG087.txt	I	た	タ	タ	た	助動詞	助動詞-タ	終止形-一般	タ	和	ん	G
KG087.txt	I	でし	デシ	デス	です	助動詞	助動詞-デス	連用形-一般	デス	和		
KG087.txt	I	た	タ	タ	た	助動詞	助動詞-タ	終止形-一般	タ	和		
KG087.txt	I	。			。	補助記号-句点				記号		
KG087.txt	B	一	イチ	イチ	一	名詞-数詞			イチ	漢		
KG087.txt	I	日	ニチ	ニチ	日	接尾辞-名詞的-助数詞			ニチ	漢		
KG087.txt	I	の	ノ	ノ	の	助詞-格助詞			ノ	和		
KG087.txt	I	目標	モクヒョー	モクヒョウ	目標	名詞-普通名詞-一般			モクヒョウ	漢		
