KN312.txt	B	これ	コレ	コレ	此れ	代名詞			コレ	和
KN312.txt	I	から	カラ	カラ	から	助詞-格助詞			カラ	和
KN312.txt	I	日本	ニッポン	ニッポン	日本	名詞-固有名詞-地名-国			ニッポン	固
KN312.txt	I	語	ゴ	ゴ	語	名詞-普通名詞-一般			ゴ	漢
KN312.txt	I	が	ガ	ガ	が	助詞-格助詞			ガ	和
KN312.txt	I	上手	ジョーズ	ジョウズ	上手	形状詞-一般			ジョウズ	漢
KN312.txt	I	に	ニ	ダ	だ	助動詞	助動詞-ダ	連用形-ニ	ダ	和
KN312.txt	I	なる	ナル	ナル	成る	動詞-非自立可能	五段-ラ行-一般	連体形-一般	ナル	和
KN312.txt	I	ため	タメ	タメ	為	名詞-普通名詞-副詞可能			タメ	和
KN312.txt	I	の	ノ	ノ	の	助詞-格助詞			ノ	和
KN312.txt	I	コツ	コツ	コツ	こつ	名詞-普通名詞-一般			コツ	漢
KN312.txt	I	を	オ	ヲ	を	助詞-格助詞			ヲ	和
KN312.txt	I	紹介	ショーカイ	ショウカイ	紹介	名詞-普通名詞-サ変可能			ショウカイ	漢
KN312.txt	I	し	シ	スル	為る	動詞-非自立可能	サ行変格	連用形-一般	スル	和
KN312.txt	I	たい	タイ	タイ	たい	助動詞	助動詞-タイ	終止形-一般	タイ	和
KN312.txt	I	と	ト	ト	と	助詞-格助詞			ト	和
KN312.txt	I	思い	オモイ	オモウ	思う	動詞-一般	五段-ワア行-一般	連用形-一般	オモウ	和
KN312.txt	I	ます	マス	マス	ます	助動詞	助動詞-マス	終止形-一般	マス	和
KN312.txt	I	。			。	補助記号-句点				記号
KN312.txt	B	それ	ソレ	ソレ	其れ	代名詞			ソレ	和
KN312.txt	I	は	ワ	ハ	は	助詞-係助詞			ハ	和
KN312.txt	I	「			「	補助記号-括弧開				記号
KN312.txt	I	モノマネ	モノマネ	モノマネ	物真似	名詞-普通名詞-一般			モノマネ	和
KN312.txt	I	を	オ	ヲ	を	助詞-格助詞			ヲ	和
KN312.txt	I	する	スル	スル	為る	動詞-非自立可能	サ行変格	終止形-一般	スル	和
KN312.txt	I	」			」	補助記号-括弧閉				記号
KN312.txt	I	と	ト	ト	と	助詞-格助詞			ト	和
KN312.txt	I	いう	ユー	イウ	言う	動詞-一般	五段-ワア行-イウ	連体形-一般	イウ	和
KN312.txt	I	いかに	イカニ	イカニ	如何に	副詞			イカニ	和
KN312.txt	I	も	モ	モ	も	助詞-係助詞			モ	和
KN312.txt	I	簡単	カンタン	カンタン	簡単	形状詞-一般			カンタン	漢
KN312.txt	I	な	ナ	ダ	だ	助動詞	助動詞-ダ	連体形-一般	ダ	和
KN312.txt	I	やり	ヤリ	ヤル	遣る	動詞-非自立可能	五段-ラ行-一般	連用形-一般	ヤル	和
