TM034jp.txt	B	これ	コレ	コレ	此れ	代名詞			コレ	和
TM034jp.txt	I	から	カラ	カラ	から	助詞-格助詞			カラ	和
TM034jp.txt	I	も	モ	モ	も	助詞-係助詞			モ	和
TM034jp.txt	I	、			、	補助記号-読点				記号
TM034jp.txt	I	新聞	シンブン	シンブン	新聞	名詞-普通名詞-一般			シンブン	漢
TM034jp.txt	I	や	ヤ	ヤ	や	助詞-副助詞			ヤ	和
TM034jp.txt	I	雑誌	ザッシ	ザッシ	雑誌	名詞-普通名詞-一般			ザッシ	漢
TM034jp.txt	I	は	ワ	ハ	は	助詞-係助詞			ハ	和
TM034jp.txt	I	必要	ヒツヨー	ヒツヨウ	必要	名詞-普通名詞-形状詞可能			ヒツヨウ	漢
TM034jp.txt	I	だ	ダ	ダ	だ	助動詞	助動詞-ダ	終止形-一般	ダ	和
TM034jp.txt	B	□			□	補助記号-一般				記号
TM034jp.txt	I	今	イマ	イマ	今	名詞-普通名詞-副詞可能			イマ	和
TM034jp.txt	I	の	ノ	ノ	の	助詞-格助詞			ノ	和
TM034jp.txt	I	私	ワタクシ	ワタクシ	私-代名詞	代名詞			ワタクシ	和
TM034jp.txt	I	は	ワ	ハ	は	助詞-係助詞			ハ	和
TM034jp.txt	I	、			、	補助記号-読点				記号
TM034jp.txt	I	毎日	マイニチ	マイニチ	毎日	名詞-普通名詞-副詞可能			マイニチ	漢
TM034jp.txt	I	約	ヤク	ヤク	約	接頭辞			ヤク	漢
TM034jp.txt	I	2	ニ	ニ	二	名詞-数詞			ニ	漢
TM034jp.txt	I	時間	ジカン	ジカン	時間	接尾辞-名詞的-助数詞			ジカン	漢
TM034jp.txt	I	インターネット	インターネット	インターネット	インターネット	名詞-普通名詞-一般			インターネット	外
TM034jp.txt	I	を	オ	ヲ	を	助詞-格助詞			ヲ	和
TM034jp.txt	I	使っ	ツカッ	ツカウ	使う	動詞-一般	五段-ワア行-一般	連用形-促音便	ツカウ	和
TM034jp.txt	I	て	テ	テ	て	助詞-接続助詞			テ	和
TM034jp.txt	I	いる	イル	イル	居る	動詞-非自立可能	上一段-ア行	終止形-一般	イル	和
TM034jp.txt	I	が	ガ	ガ	が	助詞-接続助詞			ガ	和
TM034jp.txt	I	、			、	補助記号-読点				記号
TM034jp.txt	I	あまり	アマリ	アマリ	余り	副詞			アマリ	和
TM034jp.txt	I	インターネット	インターネット	インターネット	インターネット	名詞-普通名詞-一般			インターネット	外
TM034jp.txt	I	で	デ	デ	で	助詞-格助詞			デ	和
TM034jp.txt	I	ニュース	ニュース	ニュース	ニュース	名詞-普通名詞-一般			ニュース	外
TM034jp.txt	I	を	オ	ヲ	を	助詞-格助詞			ヲ	和
TM034jp.txt	I	見	ミ	ミル	見る	動詞-非自立可能	上一段-マ行	連用形-一般	ミル	和
TM034jp.txt	I	て	テ	テ	て	助詞-接続助詞			テ	和
TM034jp.txt	I	い	イ	イル	居る	動詞-非自立可能	上一段-ア行	未然形-一般	イル	和
